key,0,1,2,30
#,Name,Abbreviation,NameFemale,NameEnglish
offset,0,4,8,16
Int32,String,String,String,String
0,冒險者,,,
1,劍術師,,劍,
2,格鬥家,,格,
3,斧術師,,斧,
4,槍術師,,槍,
5,弓箭手,,弓,
6,幻術師,,幻,
7,咒術師,,咒,
8,刻木匠,,木,
9,鍛鐵匠,,鍛,
10,鑄甲匠,,甲,
11,雕金匠,,雕,
12,製革匠,,革,
13,裁衣匠,,裁,
14,煉金術士,,煉,
15,烹調師,,烹,
16,採礦工,,礦,
17,園藝工,,園,
18,捕魚人,,魚,
19,騎士,,騎,
20,武僧,,僧,
21,戰士,,戰,
22,龍騎士,,龍,
23,吟遊詩人,,詩,
24,白魔法師,,白,
25,黑魔法師,,黑,
26,秘術師,,秘,
27,召喚師,,召,
28,學者,,學,
29,雙劍師,,雙,
30,忍者,,忍,
31,機工士,,機,
32,暗黑騎士,,暗,
33,占星術士,,占,
34,武士,,武,
35,赤魔法師,,赤,
36,青魔法師,,青,
37,絕槍戰士,,絕,
38,舞者,,舞,
39,釤鐮客,,釤,
40,賢者,,賢,
41,蝰蛇劍士,,蛇,
42,繪靈法師,,繪,
43,馴獸師,,獸,
44,,,,
45,,,,
