key,0
#,Name
offset,0
Int32,String
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
1000,秘籍：第1卷
1001,秘籍：第2卷
1002,秘籍：第3卷
1003,秘籍：第4卷
1004,秘籍：第5卷
1005,秘籍：第6卷
1006,秘籍：第7卷
1007,秘籍：第8卷
1008,秘籍：其他
1009,
1010,
1011,染劑
1012,
1013,職業任務
1014,中庸工藝館交易
1015,中庸工藝館交易
1016,中庸工藝館交易
1017,鳥人族
1018,莫古利族
1019,鯰魚精族
1020,熙洛·阿里亞珀
1021,梅·娜格
1022,紅
1023,亞德基拉
1024,凱·希爾
1025,重建伊修加德
1026,其他
1027,重建伊修加德2
1028,天鋼工具
1029,矮人族
1030,艾爾·圖
1031,重建伊修加德3
1032,
1033,
1034,
1035,裝飾品1
1036,重建伊修加德4
1037,狄蘭達爾
1038,秘籍：第9卷
1039,
1040,魔法大學交易
1041,魔法大學交易
1042,魔法大學交易
1043,內外裝潢
1044,庭具
1045,家具
1046,桌臺&地毯
1047,桌上
1048,壁掛
1049,其他
1050,阿梅莉安絲
1051,秘籍：第10卷
1052,裝飾品2
1053,安登
1054,兔兔族
1055,莫雯卓越工具
1056,瑪格拉特
1057,
1058,珠串萬貨街交易
1059,珠串萬貨街交易
1060,珠串萬貨街交易
1061,秘籍：第11卷
1062,
1063,尼托維凱
1064,秘籍：第12卷
1065,尤卡巨人族
1066,
1067,緹索加
1068,
2000,庫爾札斯
2001,龍堡
2002,阿巴拉提亞
2003,基拉巴尼亞
2004,奧薩德
2005,諾弗蘭特
2006,重建伊修加德
2007,天鋼工具
2008,
2009,
2010,北洋地域&伊爾薩巴德
2011,星外天域
2012,古代世界
2013,
2014,莫雯卓越工具
2015,尤卡圖拉爾
2016,薩卡圖拉爾
2017,亞歷山德里亞
2018,
2019,
