key,0,2,8
#,Name,NameNoArticle,
offset,0,4,8
Int32,String,String,String
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,公會理符,levemete,
19,,,
20,海德林,Hydaelyn,
21,艾歐澤亞,Eorzea,
22,拉諾西亞,La Noscea,
23,黑衣森林,Black Shroud,
24,薩納蘭,Thanalan,
25,庫爾札斯,Coerthas,
26,摩杜納,Mor Dhona,
27,利姆薩·羅敏薩,Limsa Lominsa,
28,利姆薩·羅敏薩上層甲板,Limsa Lominsa upper decks,
29,利姆薩·羅敏薩下層甲板,Limsa Lominsa lower decks,
30,中拉諾西亞,middle La Noscea,
31,拉諾西亞低地,lower La Noscea,
32,東拉諾西亞,eastern La Noscea,
33,西拉諾西亞,western La Noscea,
34,拉諾西亞高地,upper La Noscea,
35,沙斯塔夏溶洞,Sastasha,
36,布雷福洛克斯野營地,Brayflox's Longstop,
37,放浪神古神殿,Wanderer's Palace,
38,,,
39,格里達尼亞,Gridania,
40,烏爾達哈現世迴廊,Ul'dah - Steps of Nald,
41,烏爾達哈來生迴廊,Ul'dah - Steps of Thal,
42,西薩納蘭,western Thanalan,
43,中薩納蘭,central Thanalan,
44,東薩納蘭,eastern Thanalan,
45,南薩納蘭,southern Thanalan,
46,北薩納蘭,northern Thanalan,
47,樵鳴洞,Cutter's Cry,
48,銅鈴銅山,Copperbell Mines,
49,日影地修練所,Halatali,
50,喀恩埋沒聖堂,Sunken Temple of Qarn,
51,烏爾達哈,Ul'dah,
52,格里達尼亞新街,New Gridania,
53,格里達尼亞舊街,Old Gridania,
54,黑衣森林中央林區,Central Shroud,
55,黑衣森林東部林區,East Shroud,
56,黑衣森林南部林區,South Shroud,
57,黑衣森林北部林區,North Shroud,
58,塔姆·塔拉墓園,Tam-Tara Deepcroft,
59,靜語莊園,Haukke Manor,
60,,,
61,托托·拉克千獄,Thousand Maws of Toto-Rak,
62,伊修加德,Ishgard,
63,庫爾札斯中央高地,Coerthas central highlands,
64,澤梅爾要塞,Dzemael Darkhold,
65,黃金谷,Aurum Vale,
66,東方地域,Far East,
67,摩杜納,Mor Dhona,
68,翡翠湖濱,Jadeite Thick,
69,翠淚擇伐區,Greentear,
70,彎枝,Bentbranch,
71,酸模避風港,Sorrel Haven,
72,朽骨森,Standing Corses,
73,蜜場,Honey Yard,
74,九藤,Nine Ivies,
75,荊棘森,Bramble Patch,
76,百靈啼,Larkscall,
77,妖精領,Sylphlands,
78,高徑,Upper Paths,
79,低徑,Lower Paths,
80,蛇蛻林,Snakemolt,
81,沉默花壇,Silent Arbor,
82,兀爾德恩惠地,Urth's Gift,
83,私語巨木,Treespeak,
84,和平苑,Peacegarden,
85,榿木泉,Alder Springs,
86,榮耀溪,Proud Creek,
87,青貉門,Blue Badger Gate,
88,白狼門,White Wolf Gate,
89,基爾波特哨塔,Gilbert's Spire,
90,烤餅練兵所,Bannock,
91,加比諾老爹的小屋,Gabineaux's Bower,
92,裸岩丘,Naked Rock,
93,沃連牢獄,Spirithold,
94,彎枝牧場,Bentbranch Meadows,
95,加爾梵斯哨塔,Galvanth's Spire,
96,地母神忘跡,Matron's Lethe,
97,塔姆·塔拉墓園,Tam-Tara Deepcroft,
98,鏡池棧橋,Mirror Planks,
99,睡蓮岩,Lilystone,
100,境樹,Hedgetree,
101,常影區,Everschade,
102,靜語莊園,Haukke Manor,
103,血祭臺,Sanguine Perch,
104,萌芽池,Hopeseed Pond,
105,龍紋岩,Amberscale Rock,
106,魔石精巢穴,Spriggan Dig,
107,霍桑山寨,Hawthorne Hut,
108,境樹,Hedgetree,
109,,,
110,阿馬里賽哨塔,Amarissaix's Spire,
111,帝國東方堡,Castrum Oriens,
112,十二神大聖堂,Sanctum of the Twelve,
113,妖精暫留地,Little Solace,
114,月芽叢,Moonspore Grove,
115,搖籃樹,Seedbed,
116,金葉臺,Goldleaf Dais,
117,懸鉤群,Hanging Barbs,
118,巴斯卡隆監視所遺址,Buscarron's Scar,
119,巴斯卡隆酒家,Buscarron's Druthers,
120,托托·拉克千獄,Thousand Maws of Toto-Rak,
121,空居,Issom-Har,
122,無人庵,No Man's Hovel,
123,恬靜路營地,Camp Tranquil,
124,,,
125,無限城市街古蹟,Lost City of Amdapor,
126,蔓根沼,Rootslake,
127,森南飛艇坪,South Shroud landing,
128,無限城古堡,Amdapor Keep,
129,石場水車,Quarrymill,
130,紅腹蜂巢,Redbelly Hive,
131,哥布林族野營地,Goblins' Meet,
132,枯葉堆,Takers' Rot,
133,兀爾德泉,Urth's Fount,
134,,,
135,黃蛇門,Yellow Serpent Gate,
136,私語巨木鳥欄,Treespeak Stables,
137,艾·塔塔哨塔,E-Tatt's Spire,
138,境樹,Hedgetree,
139,林場水車,Hyrstmill,
140,秋瓜浮村,Fallgourd Float,
141,浮栓亭,Bobbing Cork,
142,弗洛朗泰爾哨塔,Florentel's Spire,
143,山人岩穴,Finders' Bluff,
144,格爾莫拉遺跡,Gelmorra Ruins,
145,鳥人軍採伐所,Ixali logging grounds,
146,歐金尼婭哨塔,Eugenia's Spire,
147,初學者學堂,Hall of the Novice,
148,,,
149,,,
150,,,
151,棲木旅館,Roost,
152,艾歐澤亞地下空間,Eorzean Subterrane,
153,陌迪翁牢獄,Mordion Gaol,
154,群狼困鬥,Fold,
155,花蜜棧橋,Sweetbloom Pier,
156,西葉脈,West Vein,
