key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_CTSWKSENTRANCE_00921_ANOTHER_WORLD,需返回原始伺服器才能前往探索場景。
1,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_000,要做什麼？
2,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_001,前往憧憬灣
3,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_002,對話
4,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_003,取消
5,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_004,宇宙探索計劃似乎進展得很順利啊。<hex:02100103>我一直都在接送你這樣的協助者，<hex:02100103>能幫上大家的忙就好，我也挺有成就感的。
6,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_005,移動到探索場景
7,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_006,切換副本區
8,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_007,返回最佳威兔洞
9,TEXT_CTSWKSENTRANCE_00921_FIRST_TALK_U5F1,哦，是你啊。<hex:02100103>需要用我的月球車嗎？
10,TEXT_CTSWKSENTRANCE_00921_FIRST_TALK_C1W1,要乘坐銀河威號前往其他星球嗎？
11,TEXT_CTSWKSENTRANCE_00921_FIRST_TALK_C1W2,要乘坐銀河威號前往其他星球嗎？
12,TEXT_CTSWKSENTRANCE_00921_FIRST_TALK_C1W3,要乘坐銀河威號前往其他星球嗎？
13,TEXT_CTSWKSENTRANCE_00921_FIRST_TALK_C1W4,要乘坐銀河威號前往其他星球嗎？
14,TEXT_CTSWKSENTRANCE_00921_TOPIC_TALK_C1W1,乘坐銀河威號的感覺如何？<hex:02100103>就用這應用了諸神黃昏號技術的宙脈跳躍，<hex:02100103>盡情享受在宇宙航行吧！
15,TEXT_CTSWKSENTRANCE_00921_TOPIC_TALK_C1W2,除了受中控水晶控制的這一帶以外，<hex:02100103>法恩娜行星基本上都漂浮著能下起玻璃雨的硅雲。<hex:02100103>能安全向大氣圈外出發的只有這裡！
16,TEXT_CTSWKSENTRANCE_00921_TOPIC_TALK_C1W3,在俄匊斯行星上降落真是太考驗駕駛技術了！<hex:02100103>除了要小心行星環的碎片衝擊，還不能太靠近空中的重力球，<hex:02100103>不然飛船的推力就會直接崩潰，到時候恐怕就只能嘗試迫降了。
17,TEXT_CTSWKSENTRANCE_00921_TOPIC_TALK_C1W4,奧克塞西亞行星有很多方便著陸的地方，真是省事多了。<hex:02100103>而且還有鋪設好的道路以及有人飛行器一樣的遺留物，<hex:02100103>看來這顆行星上有著十分發達的交通網路。
18,TEXT_CTSWKSENTRANCE_00921_SYSTEM_000_008,移動到其他探索場景
