key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_000,(-巴庫加加勇戰之頭-)我們兄弟一定會守好聯王託付的這片森林……<hex:02100103>這就是我們新的生存之道！
1,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_100,(-巴庫加加勇戰之頭-)雖然成功避免了最糟的事態，薩瑞加的惡行仍讓森林蒙受了損失。<hex:02100103>我這個警備隊長有不可推卸的責任，<hex:02100103>在向聯王彙報情況時，我也道了歉。
2,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_101,(-巴庫加加勇戰之頭-)結果烏克·拉瑪特那個傢伙聽完後居然說什麼<hex:02100103>「你終於有除我之外的朋友啦，太好了！」……<hex:02100103>真是的，她到底有沒有好好聽彙報啊。
3,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_102,(-巴庫加加禦魔之頭-)不知不覺間有了好多朋友呢，<hex:02100103>大哥也很開心吧。
4,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_103,(-巴庫加加勇戰之頭-)我？哼！一般般吧，<hex:02100103>也沒有特別開心！
5,TEXT_REGYOK6BAKOOLJAJA_00975_BAKOOLJAJA_000_104,(-巴庫加加勇戰之頭-)……不過，為了將來能與我們的夥伴重逢，<hex:02100103>我們也要繼續守好這片森林啊。
