key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGRA104_04963_SEQ_00,阿卡狄亞協會的休息室裡，雅娜似乎想要帶冒險者去健身房。
1,TEXT_KINGRA104_04963_SEQ_01,在雅娜的帶領下去健身房時，途中被觀眾們叫住了。九號解決方案的吉姆·特萊泰爾前的「雅娜」交談。
2,TEXT_KINGRA104_04963_SEQ_02,與雅娜交談後，進入吉姆·特萊泰爾。她介紹了她的妹妹尼尤尼，並聽到了關於失蹤的長姐尤托羅普的故事。比賽時機到了，前往阿卡狄亞協會的休息室，與「雅娜」交談。<hex:02100103>在阿卡狄亞·協會前，與「阿卡狄亞的工作人員」交談就能前往。
3,TEXT_KINGRA104_04963_SEQ_03,與雅娜交談。從現在開始，她似乎會作為助手支持我。
4,TEXT_KINGRA104_04963_SEQ_04,
5,TEXT_KINGRA104_04963_SEQ_05,
6,TEXT_KINGRA104_04963_SEQ_06,
7,TEXT_KINGRA104_04963_SEQ_07,
8,TEXT_KINGRA104_04963_SEQ_08,
9,TEXT_KINGRA104_04963_SEQ_09,
10,TEXT_KINGRA104_04963_SEQ_10,
11,TEXT_KINGRA104_04963_SEQ_11,
12,TEXT_KINGRA104_04963_SEQ_12,
13,TEXT_KINGRA104_04963_SEQ_13,
14,TEXT_KINGRA104_04963_SEQ_14,
15,TEXT_KINGRA104_04963_SEQ_15,
16,TEXT_KINGRA104_04963_SEQ_16,
17,TEXT_KINGRA104_04963_SEQ_17,
18,TEXT_KINGRA104_04963_SEQ_18,
19,TEXT_KINGRA104_04963_SEQ_19,
20,TEXT_KINGRA104_04963_SEQ_20,
21,TEXT_KINGRA104_04963_SEQ_21,
22,TEXT_KINGRA104_04963_SEQ_22,
23,TEXT_KINGRA104_04963_SEQ_23,
24,TEXT_KINGRA104_04963_TODO_00,和雅娜交談
25,TEXT_KINGRA104_04963_TODO_01,與在阿卡狄亞協會休息室裡的雅娜交談
26,TEXT_KINGRA104_04963_TODO_02,
27,TEXT_KINGRA104_04963_TODO_03,
28,TEXT_KINGRA104_04963_TODO_04,
29,TEXT_KINGRA104_04963_TODO_05,
30,TEXT_KINGRA104_04963_TODO_06,
31,TEXT_KINGRA104_04963_TODO_07,
32,TEXT_KINGRA104_04963_TODO_08,
33,TEXT_KINGRA104_04963_TODO_09,
34,TEXT_KINGRA104_04963_TODO_10,
35,TEXT_KINGRA104_04963_TODO_11,
36,TEXT_KINGRA104_04963_TODO_12,
37,TEXT_KINGRA104_04963_TODO_13,
38,TEXT_KINGRA104_04963_TODO_14,
39,TEXT_KINGRA104_04963_TODO_15,
40,TEXT_KINGRA104_04963_TODO_16,
41,TEXT_KINGRA104_04963_TODO_17,
42,TEXT_KINGRA104_04963_TODO_18,
43,TEXT_KINGRA104_04963_TODO_19,
44,TEXT_KINGRA104_04963_TODO_20,
45,TEXT_KINGRA104_04963_TODO_21,
46,TEXT_KINGRA104_04963_TODO_22,
47,TEXT_KINGRA104_04963_TODO_23,
48,TEXT_KINGRA104_04963_YAANA_000_000,那麼，我就帶你去我們健身房吧。<hex:02100103>健身房就是鍛鍊身體的地方，<hex:02100103>像我們這樣的地方也有鬥士所屬。
49,TEXT_KINGRA104_04963_EXCITABLEMAN_000_100,你是阿卡狄亞的，<hex:02100103>生身的挑戰者「<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>」吧！？
50,TEXT_KINGRA104_04963_EXCITABLEMAN_000_101,居然不藉助魔物的靈魂就能獲勝，真讓人興奮！<hex:02100103>我會繼續支持你的，加油！！
51,TEXT_KINGRA104_04963_EXCITABLEBOY_000_102,看比賽直播時真是嚇了一跳！<hex:02100103>正在與機械兵戰鬥的姐姐出現了……！
52,TEXT_KINGRA104_04963_EXCITABLEBOY_000_103,從那以後，姐姐就是我的英雄！<hex:02100103>我相信你在下一場比賽中也會表現出色！
53,TEXT_KINGRA104_04963_NERVOUSYOUTH_000_104,真是的，真是的……你們的哈尼·B……！<hex:02100103>我真是……討厭你！
54,TEXT_KINGRA104_04963_UNCOUTHMAN_000_105,切，隨便出來的小角色也敢自滿！<hex:02100103>在下一場比賽中被徹底打敗吧……！！
55,TEXT_KINGRA104_04963_GABBRO_000_106,(-溫和的男性-)哎呀，真是有口出惡言的粉絲呢。<hex:02100103>支持的鬥士輸了，心裡憋屈吧……。
56,TEXT_KINGRA104_04963_GABBRO_000_107,(-溫和的男性-)哦，失禮……。<hex:02100103>我只是個小小的寫手。<hex:02100103>下次有時間的時候，能讓我採訪一下你嗎？
57,TEXT_KINGRA104_04963_DISSATISFIEDMAN_000_108,啊，那裡不是黑貓嗎！<hex:02100103>怎麼回事，和被打敗的對手混在一起！
58,TEXT_KINGRA104_04963_DISSATISFIEDMAN_000_109,這種過於天真的地方，不就是敗因嗎？<hex:02100103>果然，我想看的是姐姐的……<hex:02100103>「邪惡雷霆」的比賽啊～！
59,TEXT_KINGRA104_04963_YAANA_000_110,沒完沒了的，快點從這裡離開吧。
60,TEXT_KINGRA104_04963_YAANA_000_111,好像勉強擺脫了。<hex:02100103>我們家的健身房就在那邊。
61,TEXT_KINGRA104_04963_YAANA_000_120,這裡是我們家健身房「三尾」。<hex:02100103>不過，目前所屬的鬥士就只有我一個人。
62,TEXT_KINGRA104_04963_YAANA_000_121,這裡也是我的家，<hex:02100103>一樓是居住區，地下是健身房。<hex:02100103>來吧，不用客氣，進來吧。
63,TEXT_KINGRA104_04963_NEYUNI_000_200,初次見面，姐姐照顧了您。<hex:02100103>我是雅娜的妹妹，「尼尤尼」。
64,TEXT_KINGRA104_04963_YAANA_000_201,照顧了您這話，<hex:02100103>我可是被那個傢伙狠狠打敗了……。
65,TEXT_KINGRA104_04963_YAANA_000_202,我們是三姐妹。<hex:02100103>如你所見，我們是海扎·阿羅族。<hex:02100103>不過，父母都已經去世了……。
66,TEXT_KINGRA104_04963_NEYUNI_000_203,30年前，聽說父母在訪問雅斯拉尼荒野時，<hex:02100103>不幸被困在障壁裡。
67,TEXT_KINGRA104_04963_NEYUNI_000_204,似乎對調節器有抵觸，<hex:02100103>他們一直沒有穿戴，還是在做驅除者的工作。<hex:02100103>所以當被危險的魔物襲擊時，也無法復活……。
68,TEXT_KINGRA104_04963_YAANA_000_205,嘛，就是這樣……。<hex:02100103>我對你產生興趣，也是因為想起了我父母拒絕利用靈魂，<hex:02100103>執著於用肉身工作。
69,TEXT_KINGRA104_04963_YAANA_000_206,不過，我們並沒有那麼執著……<hex:02100103>在父母去世後，決定開始佩戴調節器。<hex:02100103>姐姐說，如果死了就什麼都沒了。
70,TEXT_KINGRA104_04963_YAANA_000_207,能夠不忘父母的原因是，<hex:02100103>他們兩個沒有佩戴調節器就死去了。<hex:02100103>這到底是好事還是壞事，我也不知道……。
