key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZC110_05080_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>朋友的燈火的無助的佩爾佩爾族似乎遇到了困擾。
1,TEXT_KINGZC110_05080_SEQ_01,
2,TEXT_KINGZC110_05080_SEQ_02,
3,TEXT_KINGZC110_05080_SEQ_03,
4,TEXT_KINGZC110_05080_SEQ_04,
5,TEXT_KINGZC110_05080_SEQ_05,
6,TEXT_KINGZC110_05080_SEQ_06,
7,TEXT_KINGZC110_05080_SEQ_07,
8,TEXT_KINGZC110_05080_SEQ_08,
9,TEXT_KINGZC110_05080_SEQ_09,
10,TEXT_KINGZC110_05080_SEQ_10,
11,TEXT_KINGZC110_05080_SEQ_11,
12,TEXT_KINGZC110_05080_SEQ_12,
13,TEXT_KINGZC110_05080_SEQ_13,
14,TEXT_KINGZC110_05080_SEQ_14,
15,TEXT_KINGZC110_05080_SEQ_15,
16,TEXT_KINGZC110_05080_SEQ_16,
17,TEXT_KINGZC110_05080_SEQ_17,
18,TEXT_KINGZC110_05080_SEQ_18,
19,TEXT_KINGZC110_05080_SEQ_19,
20,TEXT_KINGZC110_05080_SEQ_20,
21,TEXT_KINGZC110_05080_SEQ_21,
22,TEXT_KINGZC110_05080_SEQ_22,
23,TEXT_KINGZC110_05080_SEQ_23,
24,TEXT_KINGZC110_05080_TODO_00,<hex:02280CFF05>EObj<hex:F61EBBED0103>進行回收
25,TEXT_KINGZC110_05080_TODO_01,將<hex:022811FF0A>EventItem<hex:F61E92BC0103>交給無助的佩爾佩爾族
26,TEXT_KINGZC110_05080_TODO_02,
27,TEXT_KINGZC110_05080_TODO_03,
28,TEXT_KINGZC110_05080_TODO_04,
29,TEXT_KINGZC110_05080_TODO_05,
30,TEXT_KINGZC110_05080_TODO_06,
31,TEXT_KINGZC110_05080_TODO_07,
32,TEXT_KINGZC110_05080_TODO_08,
33,TEXT_KINGZC110_05080_TODO_09,
34,TEXT_KINGZC110_05080_TODO_10,
35,TEXT_KINGZC110_05080_TODO_11,
36,TEXT_KINGZC110_05080_TODO_12,
37,TEXT_KINGZC110_05080_TODO_13,
38,TEXT_KINGZC110_05080_TODO_14,
39,TEXT_KINGZC110_05080_TODO_15,
40,TEXT_KINGZC110_05080_TODO_16,
41,TEXT_KINGZC110_05080_TODO_17,
42,TEXT_KINGZC110_05080_TODO_18,
43,TEXT_KINGZC110_05080_TODO_19,
44,TEXT_KINGZC110_05080_TODO_20,
45,TEXT_KINGZC110_05080_TODO_21,
46,TEXT_KINGZC110_05080_TODO_22,
47,TEXT_KINGZC110_05080_TODO_23,
48,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_000,嗨，能幫我一下嗎？那邊的朋友。<hex:02100103>我完全不知道該怎麼辦了。
49,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_001,前幾天，有一場可怕的大暴風雨。<hex:02100103>那時我剛好經過附近，結果<hex:02100103>有幾個包裹被吹走了。
50,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_002,我想去找，但一個人害怕野盜，實在不行……<hex:02100103>所以我就這樣無助了。
51,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_003,如果可以的話，能不能幫我一下？去找找。<hex:02100103>我希望你能從這裡沿著阿爾薩亞的河邊去找。
52,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_004,嗨，真希望你能幫我找找被吹走的包裹。<hex:02100103>從這裡到阿爾薩亞的河邊，能不能幫我看看有沒有掉落的貨物？
53,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_005,嗨。<hex:02100103>找到了嗎？被吹走的包裹……
54,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_006,謝謝你！<hex:02100103>外面雖然髒了，但看起來沒事，裡面的東西。
55,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_007,我們運送的是可以用於大階梯修復的工具類。<hex:02100103>我擔心被野盜搶走或者掉入瀑布，但<hex:02100103>還好，安全地找回來了。
56,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_008,我們佩爾佩爾族作為行商在各地活動，<hex:02100103>並不能算是強壯，正如你所見。
57,TEXT_KINGZC110_05080_LOSSPELUPELU05080_000_009,我通常會僱傭護衛，但由於暴風雨的混亂，<hex:02100103>這次我想輕裝上陣，結果一個人來了……。<hex:02100103>我真的受夠了，所以會找找能做護衛的人。
