key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZD010_05099_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>伊庫布拉夏的莫羅科西大人似乎想要給飢餓的人民分發玉米料理。
1,TEXT_KINGZD010_05099_SEQ_01,※本任務中設定了「<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等級調整」，<hex:02100103>。我和<hex:02100103>莫羅科西大人談過了。似乎已經找到了飢餓的舒巴拉爾族。我們去和伊庫布拉夏的「飢餓的舒巴拉爾族」談談吧。
2,TEXT_KINGZD010_05099_SEQ_02,我和飢餓的舒巴拉爾族談了談。給他們渡了玉米粥，他們似乎變得積極了。我們去和伊庫布拉夏的「莫羅科西大人」談談吧。
3,TEXT_KINGZD010_05099_SEQ_03,與莫羅科西大人交談。看來，莫羅科西大人仍在繼續尋找飢餓的人民的旅程。
4,TEXT_KINGZD010_05099_SEQ_04,
5,TEXT_KINGZD010_05099_SEQ_05,
6,TEXT_KINGZD010_05099_SEQ_06,
7,TEXT_KINGZD010_05099_SEQ_07,
8,TEXT_KINGZD010_05099_SEQ_08,
9,TEXT_KINGZD010_05099_SEQ_09,
10,TEXT_KINGZD010_05099_SEQ_10,
11,TEXT_KINGZD010_05099_SEQ_11,
12,TEXT_KINGZD010_05099_SEQ_12,
13,TEXT_KINGZD010_05099_SEQ_13,
14,TEXT_KINGZD010_05099_SEQ_14,
15,TEXT_KINGZD010_05099_SEQ_15,
16,TEXT_KINGZD010_05099_SEQ_16,
17,TEXT_KINGZD010_05099_SEQ_17,
18,TEXT_KINGZD010_05099_SEQ_18,
19,TEXT_KINGZD010_05099_SEQ_19,
20,TEXT_KINGZD010_05099_SEQ_20,
21,TEXT_KINGZD010_05099_SEQ_21,
22,TEXT_KINGZD010_05099_SEQ_22,
23,TEXT_KINGZD010_05099_SEQ_23,
24,TEXT_KINGZD010_05099_TODO_00,和飢餓的舒巴拉爾族談話
25,TEXT_KINGZD010_05099_TODO_01,與莫羅科西大人交談
26,TEXT_KINGZD010_05099_TODO_02,
27,TEXT_KINGZD010_05099_TODO_03,
28,TEXT_KINGZD010_05099_TODO_04,
29,TEXT_KINGZD010_05099_TODO_05,
30,TEXT_KINGZD010_05099_TODO_06,
31,TEXT_KINGZD010_05099_TODO_07,
32,TEXT_KINGZD010_05099_TODO_08,
33,TEXT_KINGZD010_05099_TODO_09,
34,TEXT_KINGZD010_05099_TODO_10,
35,TEXT_KINGZD010_05099_TODO_11,
36,TEXT_KINGZD010_05099_TODO_12,
37,TEXT_KINGZD010_05099_TODO_13,
38,TEXT_KINGZD010_05099_TODO_14,
39,TEXT_KINGZD010_05099_TODO_15,
40,TEXT_KINGZD010_05099_TODO_16,
41,TEXT_KINGZD010_05099_TODO_17,
42,TEXT_KINGZD010_05099_TODO_18,
43,TEXT_KINGZD010_05099_TODO_19,
44,TEXT_KINGZD010_05099_TODO_20,
45,TEXT_KINGZD010_05099_TODO_21,
46,TEXT_KINGZD010_05099_TODO_22,
47,TEXT_KINGZD010_05099_TODO_23,
48,TEXT_KINGZD010_05099_CORNSERVANT_000_001,哎呀，能見到你真是太高興了！<hex:02100103>你還好嗎？沒感到飢餓吧？
49,TEXT_KINGZD010_05099_CORNSERVANT_000_002,太好了。<hex:02100103>那你能再次幫我分發一些玉米嗎？<hex:02100103>在這裡生活的人們似乎聽不見我的話。
50,TEXT_KINGZD010_05099_CORNSERVANT_000_003,我找到「飢餓的舒巴拉爾族」了。<hex:02100103>這邊，請跟我來。
51,TEXT_KINGZD010_05099_CORNSERVANT_000_005,我很擔心這個舒巴拉爾族。<hex:02100103>因為我感覺到了飢餓的氣息……。
52,TEXT_KINGZD010_05099_HUNGRYXBRAAL05099_000_010,啊，你和烏克·拉瑪特大人一起……。<hex:02100103>看起來非常健康，真讓人羨慕。
53,TEXT_KINGZD010_05099_HUNGRYXBRAAL05099_000_011,我雖然身材魁梧，但肚子很弱……。<hex:02100103>村裡的人都說要吃肉變強，可是<hex:02100103>我卻消化不良，吃不下正餐。
54,TEXT_KINGZD010_05099_CORNSERVANT_000_012,哎呀，真是飢餓的煩惱啊！<hex:02100103>你要把我煮得剛剛好的「玉米粥」交給<hex:02100103>這個舒巴拉爾族！
55,TEXT_KINGZD010_05099_HUNGRYXBRAAL05099_000_013,啊，感謝你……。<hex:02100103>特意為我煮了玉米粥？
56,TEXT_KINGZD010_05099_HUNGRYXBRAAL05099_000_014,這樣的話，似乎可以不必擔心消化不良而安心地吃了。
57,TEXT_KINGZD010_05099_HUNGRYXBRAAL05099_000_015,原來如此，周圍的人都在吃肉，我也可以不隨波逐流。<hex:02100103>選擇適合自己的飲食，增強自己的力量……<hex:02100103>好，我也要和家人商量一下！
58,TEXT_KINGZD010_05099_CORNSERVANT_000_020,呼～，肚子餓的施巴拉爾族，<hex:02100103>「玉米粥」讓他們非常高興！
59,TEXT_KINGZD010_05099_CORNSERVANT_000_021,不能吃東西真是令人傷心。<hex:02100103>勉強吃東西的話，身體會受不了，也不會有力氣的。
60,TEXT_KINGZD010_05099_CORNSERVANT_000_022,但是，如果能巧妙地改變烹飪方式，<hex:02100103>就能填飽肚子，過上適合自己的生活。<hex:02100103>我對此感到非常高興，欣喜若狂。
61,TEXT_KINGZD010_05099_CORNSERVANT_000_023,哎～，我也心滿意足，身體也變得更壯了！<hex:02100103>不過，還有很多人依然飢餓，<hex:02100103>我會繼續旅行……再見！
