key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGZF201_05160_SEQ_00,<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>外地的納肯特似乎有些擔心。
1,TEXT_KINGZF201_05160_SEQ_01,※本任務包含「<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等級調整」，<hex:02100103>　已設定。<hex:02100103><hex:02100103>與納肯特交談。農田的責任者似乎去了危險區域。我們去傳承之地的尤佩圓形農田附近尋找「夏洛基」。
2,TEXT_KINGZF201_05160_SEQ_02,找到夏洛基，並討伐襲擊她的魔物。在尤佩圓形農田附近救助「夏洛基」。
3,TEXT_KINGZF201_05160_SEQ_03,救助了夏洛基。返回外地的「納肯特」那裡。
4,TEXT_KINGZF201_05160_SEQ_04,與納肯特交談。尤佩圓形農田似乎存在某些問題。為了幫助解決，暫時幫助一下新任責任者夏洛基吧。
5,TEXT_KINGZF201_05160_SEQ_05,
6,TEXT_KINGZF201_05160_SEQ_06,
7,TEXT_KINGZF201_05160_SEQ_07,
8,TEXT_KINGZF201_05160_SEQ_08,
9,TEXT_KINGZF201_05160_SEQ_09,
10,TEXT_KINGZF201_05160_SEQ_10,
11,TEXT_KINGZF201_05160_SEQ_11,
12,TEXT_KINGZF201_05160_SEQ_12,
13,TEXT_KINGZF201_05160_SEQ_13,
14,TEXT_KINGZF201_05160_SEQ_14,
15,TEXT_KINGZF201_05160_SEQ_15,
16,TEXT_KINGZF201_05160_SEQ_16,
17,TEXT_KINGZF201_05160_SEQ_17,
18,TEXT_KINGZF201_05160_SEQ_18,
19,TEXT_KINGZF201_05160_SEQ_19,
20,TEXT_KINGZF201_05160_SEQ_20,
21,TEXT_KINGZF201_05160_SEQ_21,
22,TEXT_KINGZF201_05160_SEQ_22,
23,TEXT_KINGZF201_05160_SEQ_23,
24,TEXT_KINGZF201_05160_TODO_00,尋找夏洛基
25,TEXT_KINGZF201_05160_TODO_01,救助夏洛基
26,TEXT_KINGZF201_05160_TODO_02,與納肯特交談
27,TEXT_KINGZF201_05160_TODO_03,
28,TEXT_KINGZF201_05160_TODO_04,
29,TEXT_KINGZF201_05160_TODO_05,
30,TEXT_KINGZF201_05160_TODO_06,
31,TEXT_KINGZF201_05160_TODO_07,
32,TEXT_KINGZF201_05160_TODO_08,
33,TEXT_KINGZF201_05160_TODO_09,
34,TEXT_KINGZF201_05160_TODO_10,
35,TEXT_KINGZF201_05160_TODO_11,
36,TEXT_KINGZF201_05160_TODO_12,
37,TEXT_KINGZF201_05160_TODO_13,
38,TEXT_KINGZF201_05160_TODO_14,
39,TEXT_KINGZF201_05160_TODO_15,
40,TEXT_KINGZF201_05160_TODO_16,
41,TEXT_KINGZF201_05160_TODO_17,
42,TEXT_KINGZF201_05160_TODO_18,
43,TEXT_KINGZF201_05160_TODO_19,
44,TEXT_KINGZF201_05160_TODO_20,
45,TEXT_KINGZF201_05160_TODO_21,
46,TEXT_KINGZF201_05160_TODO_22,
47,TEXT_KINGZF201_05160_TODO_23,
48,TEXT_KINGZF201_05160_NAKENTE_000_000,嗯，竟然不帶驅除者就出去，真讓人擔心，<hex:02100103>夏洛基那傢伙，沒問題吧……。
49,TEXT_KINGZF201_05160_NAKENTE_000_001,哦，姐姐，你不是上次被榍石大人帶著，去過<hex:02100103>尤佩圓形農田參觀的人嗎？<hex:02100103>我記得你還打敗了魔物呢！
50,TEXT_KINGZF201_05160_NAKENTE_000_002,抱歉，可以借用一下你的力量嗎？<hex:02100103>其實剛剛，農田的責任者似乎沒有帶護衛就出去了。
51,TEXT_KINGZF201_05160_NAKENTE_000_003,她似乎在調查什麼，但實在讓人擔心。<hex:02100103>聽說她從農田的東側走上了小山，所以想請你去跟著她，看看情況。
52,TEXT_KINGZF201_05160_NAKENTE_000_004,謝謝……<hex:02100103>責任者名叫「夏洛基」，是年輕的夏托納族。<hex:02100103>麻煩你了，真是對不起！
53,TEXT_KINGZF201_05160_NAKENTE_000_005,夏洛基似乎是從農田的東側朝小山走去的。<hex:02100103>真是的……無論她在調查什麼，<hex:02100103>一個人出去真是太危險了。
54,TEXT_KINGZF201_05160_SHALOACI_000_010,疼疼疼……太可怕了……<hex:02100103>魂資源用完了，差點就真的死掉了……。
55,TEXT_KINGZF201_05160_SHALOACI_000_011,姐姐，謝謝你救了我。<hex:02100103>不過，你怎麼會在這種地方？
56,TEXT_KINGZF201_05160_SHALOACI_000_012,是納肯特阿姨拜託我來看看情況的？<hex:02100103>那真是……要感謝在意我的那個人呢。
57,TEXT_KINGZF201_05160_SHALOACI_000_013,多虧了你，我才撿回一命。<hex:02100103>如果可以的話，能不能稍後來阿姨那兒，<hex:02100103>我想好好感謝你。
58,TEXT_KINGZF201_05160_SHALOACI_000_014,嗚哇……<hex:02100103>我知道了，我錯了……。
59,TEXT_KINGZF201_05160_NAKENTE_000_020,哦，姐姐，歡迎回來！<hex:02100103>謝謝你救了我們家『夏洛』。
60,TEXT_KINGZF201_05160_NAKENTE_000_021,真是的，你從小到大，<hex:02100103>一點都沒變得危險。 <hex:02100103>快點，振作起來，感謝一下！
61,TEXT_KINGZF201_05160_SHALOACI_000_022,再一次……謝謝你救了我。<hex:02100103>我是夏洛基，尤佩圓形農地的負責人。
62,TEXT_KINGZF201_05160_SHALOACI_000_023,嗯，雖然說是負責人，但其實是剛上任的新手。<hex:02100103>我以前是電工的技師，但不知為何被<hex:024A1AFF07E694BFE5BA9CFF10E382ACE38390E383A1E383B3E3838803>推薦過來了。
63,TEXT_KINGZF201_05160_NAKENTE_000_024,我是負責農地會計的納肯特。<hex:02100103>希望你能記住我這個愛管閒事的阿姨……<hex:02100103>可以問一下恩人的名字嗎？
64,TEXT_KINGZF201_05160_SHALOACI_000_025,<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>啊，聽起來不錯呢。
65,TEXT_KINGZF201_05160_NAKENTE_000_026,你可別忘了這個名字！<hex:02100103>要是沒有<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>小姐，<hex:02100103>我剛才可能就死掉了。
66,TEXT_KINGZF201_05160_NAKENTE_000_027,那是說到這裡，聽我說，シャロ……<hex:02100103>你為什麼不帶護衛就去危險地區呢？<hex:02100103>最近好像一個人苦惱，這和什麼有關嗎？
67,TEXT_KINGZF201_05160_SHALOACI_000_028,啊……我本以為是偷偷行動的，沒想到<hex:02100103>還是被阿姨看出來了。<hex:02100103>那我就說了……不過其他人還要保密哦。
68,TEXT_KINGZF201_05160_SHALOACI_000_029,其實……<hex:02100103>農田的收成量似乎年年在減少。<hex:02100103>但卻找不到明顯的原因。
69,TEXT_KINGZF201_05160_SHALOACI_000_030,大家都在認真工作，<hex:02100103>從我這個前工程師的角度看，設備也沒有異常。<hex:02100103>剛才也檢查了送雷系統，但數據還是正常的。
